Trip;Date;Departure;AZU;Heidelberglaan;Padualaan;De Kromme Rijn;Stadion Galgenwaard;Bleekstraat;CS Centrumzijde;AZU;Heidelberglaan;Padualaan;De Kromme Rijn;Stadion Galgenwaard;Bleekstraat;CS Centrumzijde
R1002;2-9-2015;06:11;0;0;0;0;0;0,925227701;0;0;0;0;0;0;0;0,925227701
R1002;3-9-2015;06:11;0;0;2,622779528;2,200158289;0;2,775683103;0;0;0;0;0;0;0;7,598620921
R1002;4-9-2015;06:11;0;2,235638834;0;0;0;1,850455402;0;0;0;0;0;0;0;4,086094236
R1002;7-9-2015;06:11;0;2,235638834;0;0;0;2,775683103;0;0;0;0;0;0;0;5,011321937
R1002;8-9-2015;06:11;0;0;2,622779528;0;0,980366292;1,850455402;0;0;0;0;0;0;0;5,453601223
R1002;9-9-2015;06:11;0;4,471277668;0;0;0;2,775683103;0;0;0;0;0;0;0;7,246960771
R1002;10-9-2015;06:11;0;0;2,622779528;0;0;1,850455402;0;0;0;0;0;0;0;4,47323493
R1002;11-9-2015;06:11;0;8,942555336;0;0;0;2,775683103;0;0;0;0;0;0;0;11,71823844
R1002;14-9-2015;06:11;0;8,942555336;0;0;0;6,476593907;0;0;0;0;0;0;0;15,41914924
R1002;15-9-2015;06:11;4,560777954;0;0;0;0;2,775683103;0;0;0;0;0;0;0;7,336461057
R1002;16-9-2015;06:11;0;4,471277668;0;0;0,980366292;2,775683103;0;0;0;0;0;0;0;8,227327063
R1002;17-9-2015;06:11;0;0;7,868338584;0;0,980366292;1,850455402;0;0;0;0;0;0;0;10,69916028
R1002;18-9-2015;06:11;0;0;7,868338584;0;0;2,775683103;0;0;0;0;0;0;0;10,64402169
R1002;21-9-2015;06:11;0;11,17819417;0;0;0;2,775683103;0;0;0;0;0;0;0;13,95387727
R1002;22-9-2015;06:11;0;11,17819417;0;0;0;3,700910804;0;0;0;0;0;0;0;14,87910497
R1002;23-9-2015;06:11;0;0;5,245559056;0;0,980366292;4,626138505;0;0;0;0;0;0;0;10,85206385
R1002;24-9-2015;06:11;0;4,471277668;0;0;0,980366292;2,775683103;0;0;0;0;0;0;0;8,227327063
R1002;25-9-2015;06:11;0;6,706916502;0;0;0;1,850455402;0;0;0;0;0;0;0;8,557371904
R1002;29-9-2015;06:11;0;0;2,622779528;0;0,980366292;3,700910804;0;0;0;0;0;0;0;7,304056625
R1002;30-9-2015;06:11;0;2,235638834;0;2,200158289;0;0,925227701;0;0;0;0;0;0;0;5,361024824
R1004;2-9-2015;06:35;0;2,235638834;0;0;1,960732585;6,476593907;0;0;0;0;0;0;1,067296533;9,605668793
R1004;3-9-2015;06:35;0;15,64947184;0;0;0;8,32704931;0;0;0;0;0;0;1,498532572;22,47798858
R1004;4-9-2015;06:35;0;6,706916502;0;0;0;1,850455402;0;0;0;0;0;0;0;8,557371904
R1004;7-9-2015;06:35;0;6,706916502;0;0;1,960732585;1,850455402;0;0;0;0;0;0;1,502586356;9,015518133
R1004;8-9-2015;06:35;0;6,706916502;0;0;0,980366292;1,850455402;0;0;0;0;0;0;1,589623033;7,948115164
R1004;9-9-2015;06:35;2,280388977;4,471277668;0;0;0,980366292;2,775683103;0;0;0;0;0;0;1,501102291;9,006613749
R1004;10-9-2015;06:35;0;2,235638834;0;0;0,980366292;3,700910804;0;0;0;0;0;0;1,152819322;5,764096609
R1004;11-9-2015;06:35;0;2,235638834;0;2,200158289;0;6,476593907;0;0;0;0;0;0;0;10,91239103
R1004;14-9-2015;06:35;0;2,235638834;0;0;0,980366292;2,775683103;0;0;0;0;0;0;0;5,991688229
R1004;15-9-2015;06:35;0;8,942555336;0;0;0;2,775683103;0;0;0;0;0;0;0;11,71823844
R1004;16-9-2015;06:35;2,280388977;8,942555336;0;0;0,980366292;3,700910804;0;0;0;0;0;1,590422141;3,180844282;11,13295499
R1004;17-9-2015;06:35;0;6,706916502;0;0;0,980366292;4,626138505;0;0;0;0;0;1,368157922;0;10,94526338
R1004;18-9-2015;06:35;0;4,471277668;0;0;0;4,626138505;0;0;0;0;0;0;0;9,097416173
R1004;21-9-2015;06:35;0;6,706916502;0;0;2,941098877;10,17750471;0;0;0;0;0;0;1,166207064;18,65931303
R1004;22-9-2015;06:35;2,280388977;15,64947184;0;0;0;5,551366206;0;0;0;0;0;0;3,354461003;20,12676602
R1004;23-9-2015;06:35;2,280388977;6,706916502;0;0;1,960732585;4,626138505;0;0;0;0;0;0;1,415834234;14,15834234
