;Arriving;;;;;;;P;;;;;;
Timeslot;AZU;Heidelberglaan;Padualaan;De Kromme Rijn;Stadion Galgenwaard;Bleekstraat;CS Centrumzijde;AZU;Heidelberglaan;Padualaan;De Kromme Rijn;Stadion Galgenwaard;Bleekstraat;CS Centrumzijde
0;0.228038898;3.353458251;0;0;0;0;0;0;0;0;0;0;0;1
1;0.331199351;5.562482337;1.573667717;0.220015829;0.294109888;2.729421718;0;0;0;0;0;0;0;1
2;0.434359805;7.771506423;0;0.104769442;1.12041862;3.721838573;0;0;0;0;0;0.015294114;0.021946443;1
3;1.254213937;7.601172035;0;0.602424294;1.516066445;4.714255429;0;0;0;0;0;0.038890537;0.043892886;1
4;5.55625;9.490090978;2.847976022;1.100079145;1.91171427;5.458843436;0;0;0;0.001723939;0;0.062486961;0.022961192;1
5;15.5019375;11.37900992;5.695952045;13.98741466;1.510890174;6.729667867;0;0;0;0.003447879;0.000756343;0.025939892;0.016452386;1
6;17.96972561;12.05980539;4.588405814;9.175744017;2.928802492;13.77542619;0;0;0;0.006452682;0.000535536;0.047929897;0.050812073;1
7;19.63208333;7.975032594;4.170250604;12.83511812;3.835336596;13.16090257;0;0;0;0;0.001230416;0.036795333;0.069474264;1
8;13.335;6.12540154;3.907865359;5.871383821;2.411613163;11.5106777;0;0;0;0.013752654;0.000389361;0.043872114;0.114259363;1
9;22.60445122;6.613441663;3.296700842;3.681625686;2.00054815;8.100662635;0;0;0;0.03918771;0.000518552;0.063840734;0.090721985;1
10;15.3590625;6.519272676;6.332602769;7.646453348;3.234621225;7.324740336;0;0;0;0.060216147;0.001100196;0.033878419;0.107616279;1
11;27.63057203;6.31356747;4.97340998;3.760550827;2.280624891;6.219844544;0;0;0;0.06165502;0.000859575;0.030547581;0.077783748;1
12;9.577633703;6.266638546;2.776663799;1.99547179;0.854917193;4.669635998;0;0;0;0.142673274;0.007260707;0.035866256;0.178846645;1
13;8.177946676;6.398552525;1.447050774;0.436238282;0.61480598;3.639228957;0;0;0;0.042833754;0.012011847;0.03989126;0.076575481;1
14;10.42463532;6.265671995;1.920249297;0.45181822;0.409971359;2.648065489;0;0;0.000204415;0.016776797;0.007216538;0.030505212;0.038033478;1
15;9.947213986;12.64292306;4.341152322;0.398304518;0.527889542;2.775683103;0;0;0.000114284;0.016185261;0.004014722;0.036276769;0.046746687;1
16;4.975394131;11.21884215;6.257859927;1.196577315;0.980366292;3.724942692;0;0;0;0.000715451;0.00281092;0.012874064;0.046852779;1
17;9.971870442;11.86025348;14.30607015;0.424591951;0.928768066;3.734555448;0;0;1.27668E-05;0.029860959;0.004314235;0.011595688;0.028513274;1
18;18.80617082;23.06434064;26.75235119;1.100079145;0.931347978;3.963058653;0;0;0.000134806;0.013531273;0.011092214;0.01903089;0.066957319;1
19;13.75834683;74.78572487;26.0585837;3.047760253;1.301797864;4.686809174;0;0;0.000156925;0.056264799;0.005142204;0.014848203;0.020294549;1
20;10.93014027;48.33605341;22.47450734;8.006905168;1.212995582;3.855115421;0;0;9.5237E-06;0.015861392;0.004003921;0.023127;0.017965388;1
21;6.429949246;28.7559045;19.38189617;3.505336936;1.584925506;4.67399511;0;0;0.000124284;0.012351371;0.003479745;0.018506129;0.01867778;1
22;12.10077377;23.6905599;26.10290102;1.990619405;1.510728385;6.370420237;0;0;3.34098E-05;0.040596343;-0.004188145;0.016699971;0.021941897;1
23;18.49648837;51.88101548;25.29713158;1.508173021;1.665441533;9.341455584;0;0;0.00011012;0.065170002;0.001333455;0.01631666;0.017470977;1
24;15.89032954;47.9775191;32.90963836;1.711234225;2.365328197;7.431193916;0;0;5.49557E-05;0.019413522;0.001130021;0.01643367;0.019872541;1
25;10.4789303;38.71558679;43.71299214;1.414387472;2.412012307;9.98658471;0;0;0.000153437;0.066572304;0.001867845;0.018103058;0.018212296;1
26;19.76337113;68.24021393;61.44797752;1.903311536;1.618382451;9.971898555;0;0;9.39413E-05;0.025599341;0.001944724;0.016690772;0.015665612;1
27;23.92598593;130.7316423;55.2865272;5.500395724;1.882925736;9.32570778;0;0;0.000349984;0.01564162;0.002354947;0.022761645;0.016989488;1
28;17.77255536;93.95006053;67.35963931;10.77379099;2.474257785;8.003953921;0;0;0.000100747;0.009201828;0.001510536;0.013298983;0.022100736;1
29;13.10318746;44.89020833;49.74954819;2.514466617;2.380889567;10.16281856;0;0;1.31518E-05;0.026717855;0.000829058;0.016815392;0.019637328;1
30;14.45472368;38.00586018;53.59776875;2.306617561;1.854427806;9.957212402;0;0;7.79561E-05;0.015193539;0.002689977;0.014578708;0.019695105;1
31;11.76391139;56.35229315;39.49781075;1.466772193;2.147469021;9.192584901;0;0;0.000430512;0.015890746;0.001230161;0.017891227;0.019534915;1
32;16.43548641;64.46702802;56.02429058;1.650118717;2.057162056;12.67415089;0;0;1.74141E-06;0.022533413;0.002112302;0.016073683;0.018267941;1
33;20.29546189;47.7764299;62.39624878;2.200158289;2.235713374;12.93802015;0;0;7.94827E-05;0.022208787;0.001779954;0.028800316;0.02024758;1
34;23.16987812;79.85995114;67.20335086;1.283425669;1.45421;11.24151657;0;0;4.80333E-05;0.011873272;0.003152897;0.015545664;0.017828911;1
35;30.70923822;107.9813557;53.02385946;3.01503173;3.262530448;12.01279245;0;0;0.000259804;0.041267483;0.003152109;0.016542771;0.015675893;1
36;44.49539467;139.7634858;68.57608913;5.181017908;4.459471061;10.10896933;0;0;0.000203193;0.010745155;0.00146472;0.017217515;0.021254248;1
37;41.8193914;73.96692874;84.01355069;9.015282747;4.162538848;7.037797594;0;0;5.99435E-05;0.006531034;0.000553135;0.016490249;0.022026648;1
