;;;CS Centrumzijde;Bleekstraat;Stadion Galgenwaard;De Kromme Rijn;Padualaan;Heidelberglaan;AZU;CS Centrumzijde;Bleekstraat;Stadion Galgenwaard;De Kromme Rijn;Padualaan;Heidelberglaan;AZU;;;;
R1001;3-9-2015;06:10;10,88499591;0;0;0;0;0;0;0;0;1,814165984;0;0;1,814165984;7,256663937;;;;
R1001;4-9-2015;06:10;10,88499591;0;0;0;0;0;0;0;3,628331969;0;0;0;1,814165984;5,442497953;;;;
R1001;7-9-2015;06:10;16,32749386;0;0;0;0;0;0;0;3,628331969;0;3,628331969;0;1,814165984;7,256663937;;;;
R1001;8-9-2015;06:10;9,070829922;0;0;0;0;0;0;0;1,814165984;0;0;0;0;7,256663937;;;;
R1001;9-9-2015;06:10;12,69916189;0;0;0;0;0;0;0;3,628331969;0;1,814165984;0;0;7,256663937;;;;
R1001;10-9-2015;06:10;7,256663937;0;0;0,7875;0;0;0;0;1,34069399;0;0;1,34069399;0;5,362775958;;;;
R1001;11-9-2015;06:10;5,442497953;0;0;0,39375;0;0;0;0;0;0;0;0;0;5,836247953;;;;
R1001;14-9-2015;06:10;0;12,47454775;0;0;0;0;0;0;3,118636937;0;0;0;0;9,355910812;;;;
R1001;15-9-2015;06:10;9,070829922;0;0;0;0;0;0;0;1,814165984;0;0;0;0;7,256663937;;;;
R1001;16-9-2015;06:10;119,734955;0;0;0,39375;0;0;0;0;19,7226232;16,13669171;3,585931491;32,27338342;30,48041768;17,92965746;;;;
R1001;17-9-2015;06:10;7,256663937;3,118636937;0;0;0;0;0;0;0;0;0;2,075060175;0;8,3002407;;;;
R1001;18-9-2015;06:10;7,256663937;0;0;0;0;0;0;0;1,814165984;0;0;0;0;5,442497953;;;;
R1001;21-9-2015;06:10;9,070829922;0;0;0;0;0;0;0;0;0;0;0;1,814165984;7,256663937;;;;
R1001;22-9-2015;06:10;9,070829922;0;0;0;0;0;0;0;1,814165984;0;0;0;0;7,256663937;;;;
R1001;23-9-2015;06:10;7,256663937;0;0;0,7875;0;0;0;0;0;0;0;0;0;8,044163937;;;;
