;Arriving;;;;;;;Leaving;;;;;;;P;;;;;;
Timeslot;CS Centrumzijde;Bleekstraat;Stadion Galgenwaard;De Kromme Rijn;Padualaan;Heidelberglaan;AZU;CS Centrumzijde;Bleekstraat;Stadion Galgenwaard;De Kromme Rijn;Padualaan;Heidelberglaan;AZU;CS Centrumzijde;Bleekstraat;Stadion Galgenwaard;De Kromme Rijn;Padualaan;Heidelberglaan;AZU
0;13,42482829;1,247454775;0;0;0;0;0;0;2,297597297;0;0;0;0;0;0;0,11662045;0;0;0;0;1
1;37,6212671;8,654217501;0;0,118125;0;0;0;0;3,335740397;0,988251184;0,72354637;1,784456879;1,886854081;7,109702248;0;0,092446526;0,026400684;0,053209076;0,04;0,073981481;1
2;61,81770591;16,06098023;0,468172356;0,2165625;0,001571595;0;0;0;4,373883496;8,19606497;3,389495165;3,11832854;17,5017673;19,72555558;0;0,068272602;0,104476929;0,047503837;0,048119523;0,276105467;1
3;86,47524525;18,33150005;1,070108243;0,039375;0;0;0;0;18,16788589;24,64741003;6,383732435;6,124724065;11,92008724;32,34140892;0;0,221420588;0,338492481;0,150160591;0,167063926;0,368940537;1
4;91,41267507;27,82565453;1,816734927;0,20625;0;0;0;0;15,70591573;18,53903738;8,923096066;7,371246202;10,07562832;28,99440634;0;0,155006763;0,240799572;0,172173447;0,17150053;0,234436822;1
5;105,8027421;24,53294456;3,880520349;0,424898818;0,00554625;0;0;0;12,62272507;26,36433339;4,816891568;7,128156192;27,03337471;27,31839648;0;0,09071358;0,202093681;0,054924688;0,099078697;0,422346855;1
6;148,6064109;42,67216804;6,887503649;0,184347635;0,005414197;0,004972222;0;0;17,60539257;20,71123583;4,608289875;15,96816332;56,51369625;44,27727983;0;0,085555162;0,112269029;0,030312249;0,10741447;0,497759833;1
7;175,8701773;61,52180498;3,888106899;0,454761185;0,007335364;0,002516064;0;0;23,85992589;21,11127562;5,926907264;41,45666673;65,59359686;51,49840549;0;0,20495041;0,102246523;0,032694775;0,258942992;0,559050314;1
8;389,1085298;54,87130796;4,468477977;1,380340695;0,00554625;0,003423497;0;0;61,5455373;20,90078763;6,72971766;96,22628118;53,40149419;50,11739649;0;0,400811816;0,0816395;0,028481655;0,427660324;0,551721527;1
