0;45;90;135;180;225;270;315;360;405;450;495;540;585;630;675;720;765;810
15;60;105;150;195;240;285;330;375;420;465;510;555;600;645;690;735;780;
30;75;120;165;210;255;300;345;390;435;480;525;570;615;660;705;750;795;
65;110;155;202,5;247,5;292,5;337,5;382,5;427,5;472,5;517,5;562,5;610;655;700;;;;
70;115;160;;;;;;;;;;;;;;;;
80;125;170;217,5;262,5;307,5;352,5;397,5;442,5;487,5;532,5;577,5;625;670;715;;;;
85;130;175;;;;;;;;;;;;;;;;
95;140;187,5;232,5;277,5;322,5;367,5;412,5;457,5;502,5;547,5;592,5;640;685;;;;;
100;145;;;;;;;;;;;;;;;;;
605;650;695;;;;;;;;;;;;;;;;
620;665;710;;;;;;;;;;;;;;;;
635;680;;;;;;;;;;;;;;;;;
