tramstop	totalArriving	totalLeaving	totalArrMorning	totalLeaveMorning	totalArrEve	totalLeaveEve										tramstop	totalArriving	totalLeaving	totalArrMorning	totalLeaveMorning	totalArrEve	totalLeaveEve	maxQueueLength	time	maxWaitingTime	time	averageWaitTime	maxTramDelay	averageTramDelay/total	averageTramDelay/delayed	fractionOfRunsDelayed	passengersNotArrived
0	15,41	172,78	0,83	114	7,97	14,88										0	21	165	0	104	12	15	3	667,2666667	10,4470844	754,6027195	5,964523506	307,0525392	6,85061709	17,70819889	0,386861314	0
3	1000,99	0	307,48	0	272,73	0										0	21	165	0	104	12	15	3	667,2666667	10,4470844	754,6027195	5,964523506	307,0525392	6,85061709	17,70819889	0,386861314	0
4	2612,82	0	109,3	0	1212,88	0										0	21	165	0	104	12	15	3	667,2666667	10,4470844	754,6027195	5,964523506	307,0525392	6,85061709	17,70819889	0,386861314	0
5	8946,17	0,09	299,74	0,03	3364,68	0,03										0	13	161	0	108	9	17	2	424,6666667	6,140164949	517,0666667	5,464853949	412,8666667	1,574030081	7,43593521	0,211678832	0
6	6714,1	211,06	205,69	83,32	2459,28	3,57										0	13	161	0	108	9	17	2	424,6666667	6,140164949	517,0666667	5,464853949	412,8666667	1,574030081	7,43593521	0,211678832	0
7	690,33	36,09	140,63	0,63	250,24	4,96										0	13	161	0	108	9	17	2	424,6666667	6,140164949	517,0666667	5,464853949	412,8666667	1,574030081	7,43593521	0,211678832	0
8	601,31	241,43	55,97	24,11	286,94	65,59										0	12	162	0	97	6	13	2	454,8666667	6,734604104	424,6666667	7,208708496	783,7658511	1,985440997	6,974497861	0,284671533	0
9	1251,91	486,05	188,42	50,17	288,28	206,53										0	12	162	0	97	6	13	2	454,8666667	6,734604104	424,6666667	7,208708496	783,7658511	1,985440997	6,974497861	0,284671533	0
10	22409,79	20858,32	9103,55	1280,51	2747,55	7054,08										0	12	162	0	97	6	13	2	454,8666667	6,734604104	424,6666667	7,208708496	783,7658511	1,985440997	6,974497861	0,284671533	0
13	2314,59	1898,04	654,23	291,95	341,7	351,56										0	15	187	1	126	8	20	2	629,3570669	9,453441668	433,0666667	5,869534265	742,8771992	2,018258162	7,90003909	0,255474453	0
14	357,21	1351,75	162,34	350,85	29,73	228,2										0	15	187	1	126	8	20	2	629,3570669	9,453441668	433,0666667	5,869534265	742,8771992	2,018258162	7,90003909	0,255474453	0
15	47,22	1163,58	25,11	265,52	4,77	327,94										0	15	187	1	126	8	20	2	629,3570669	9,453441668	433,0666667	5,869534265	742,8771992	2,018258162	7,90003909	0,255474453	0
16	12,02	10733,6	0,25	4693,73	8,94	913,78										0	18	167	0	114	7	15	1	25,2	4,036821436	825,0666667	9,177857187	608,2666667	1,073999778	6,688089526	0,160583942	0
17	8,09	6303,38	0,3	2156,99	6,6	632,56										0	18	167	0	114	7	15	1	25,2	4,036821436	825,0666667	9,177857187	608,2666667	1,073999778	6,688089526	0,160583942	0
18	5,75	2775,2	0,06	790,1	4,94	445,5										0	18	167	0	114	7	15	1	25,2	4,036821436	825,0666667	9,177857187	608,2666667	1,073999778	6,688089526	0,160583942	0
19	0	720,73	0	286,56	0	124,66										0	19	177	2	110	10	26	2	634,6	5,655933751	354,0666667	7,479887941	847,0573163	1,178025816	6,455581473	0,182481752	0
																0	19	177	2	110	10	26	2	634,6	5,655933751	354,0666667	7,479887941	847,0573163	1,178025816	6,455581473	0,182481752	0
P+R Uithof	15	15	1	7	7	1										0	19	177	2	110	10	26	2	634,6	5,655933751	354,0666667	7,479887941	847,0573163	1,178025816	6,455581473	0,182481752	0
WKZ	1015	0	303	0	265	0										0	11	163	0	109	7	14	2	681,2666667	8,361330342	681,2666667	7,300739111	462,2666667	3,625457477	9,197919895	0,394160584	0
UMC	2660	0	78	0	1197	0										0	11	163	0	109	7	14	2	681,2666667	8,361330342	681,2666667	7,300739111	462,2666667	3,625457477	9,197919895	0,394160584	0
Heidelberglaan	9138	0	155	0	3300	0										0	11	163	0	109	7	14	2	681,2666667	8,361330342	681,2666667	7,300739111	462,2666667	3,625457477	9,197919895	0,394160584	0
Padualaan	6855	236	99	103	2467	3										0	13	169	0	116	9	13	2	602,2666667	12,38576024	219,3467878	4,264646744	564,0666667	2,556577361	8,980797397	0,284671533	0
Kromme Rijn	691	31	140	1	254	5										0	13	169	0	116	9	13	2	602,2666667	12,38576024	219,3467878	4,264646744	564,0666667	2,556577361	8,980797397	0,284671533	0
Galgenwaard	606	265	52	27	292	67										0	13	169	0	116	9	13	2	602,2666667	12,38576024	219,3467878	4,264646744	564,0666667	2,556577361	8,980797397	0,284671533	0
Vaartscherijn	1261	544	171	59	267	231										0	18	158	1	105	11	16	3	695,2666667	3,776790377	59,73333333	6,823989125	719,4037602	1,693523761	7,733758509	0,218978102	0
Centraal Station Centrumzijde	19994	21164	8123	809	2132	7741										0	18	158	1	105	11	16	3	695,2666667	3,776790377	59,73333333	6,823989125	719,4037602	1,693523761	7,733758509	0,218978102	0
Vaartscherijn	2337	1735	956	294	322	295										0	18	158	1	105	11	16	3	695,2666667	3,776790377	59,73333333	6,823989125	719,4037602	1,693523761	7,733758509	0,218978102	0
Galgenwaard	359	1288	180	305	26	228										0	14	181	2	124	7	18	1	58,52987618	4,859786246	130,1268095	6,874518563	904,6666667	1,15932834	5,882517874	0,197080292	0
Kromme Rijn	47	1039	25	232	4	293										0	14	181	2	124	7	18	1	58,52987618	4,859786246	130,1268095	6,874518563	904,6666667	1,15932834	5,882517874	0,197080292	0
Padualaan	10	9672	0	4551	9	718										0	14	181	2	124	7	18	1	58,52987618	4,859786246	130,1268095	6,874518563	904,6666667	1,15932834	5,882517874	0,197080292	0
Heidelberglaan	8	5789	0	2531	7	501										0	15	145	0	83	7	20	2	42	14,1338704	266,2539799	7,368506783	183,1708333	4,375810107	12,48929135	0,350364964	0
