tramstop;;totalArriving;;totalLeaving
P+R Uithof;15;15,41 (+-3,7);15;172,78 (+-16,2)
WKZ;1015;1000,99 (+-33,3);0;0 (+-0)
UMC;2660;2612,82 (+-49);0;0 (+-0)
Heidelberglaan;9138;8946,17 (+-112,1);0;0,09 (+-0,3)
Padualaan;6855;6714,1 (+-90,7);236;211,06 (+-18,2)
Kromme Rijn;691;690,33 (+-26,1);31;36,09 (+-6,4)
Galgenwaard;606;601,31 (+-25,3);265;241,43 (+-16,1)
Vaartscherijn;1261;1251,91 (+-36,7);544;486,05 (+-22)
Centraal Station Centrumzijde;19994;22409,79 (+-263,4);21164;20858,32 (+-160,3)
Vaartscherijn;2337;2314,59 (+-52,4);1735;1898,04 (+-76,3)
Galgenwaard;359;357,21 (+-20,6);1288;1351,75 (+-57,6)
Kromme Rijn;47;47,22 (+-6,8);1039;1163,58 (+-42)
Padualaan;10;12,02 (+-3,5);9672;10733,6 (+-274,5)
Heidelberglaan;8;8,09 (+-3);5789;6303,38 (+-207,8)
UMC;6;5,75 (+-2,2);2577;2775,2 (+-98,4)
WKZ;0;0 (+-0);644;720,73 (+-34,4)
